DIST_NAME,TOTALEXPENDITURES
Adair County,31371728
Allen County,35386905
Anchorage Independent,8552759
Anderson County,41308635
Ashland Independent,42948277
Augusta Independent,4008960
Ballard County,15732690
Barbourville Independent,9129322
Bardstown Independent,35670491
Barren County,68160030
Bath County,29496953
Beechwood Independent,17741720
Bell County,39887857
Bellevue Independent,9676353
Berea Independent,15829551
Boone County,276211064
Bourbon County,34013744
Bowling Green Independent,61302737
Boyd County,43226987
Boyle County,44525132
Bracken County,14136246
Breathitt County,24574821
Breckinridge County,40972565
Bullitt County,161800981
Burgin Independent,6443097
Butler County,26128376
Caldwell County,26079746
Calloway County,33662792
Campbell County,63650420
Campbellsville Independent,15710083
Carlisle County,10742528
Carroll County,32103987
Carter County,49892755
Casey County,29675949
Caverna Independent,9510034
Christian County,97884625
Clark County,85610395
Clay County,40533220
Clinton County,21885053
Cloverport Independent,4979929
Corbin Independent,45210200
Covington Independent,62065894
Crittenden County,15318577
Cumberland County,12808798
Danville Independent,36691685
Daviess County,148386117
Dawson Springs Independent,7387602
Dayton Independent,12169248
East Bernstadt Independent,6798990
Edmonson County,21294324
Elizabethtown Independent,29396339
Elliott County,12798021
Eminence Independent,11055665
Erlanger-Elsmere Independent,33756284
Estill County,33348943
Fairview Independent,8183816
Fayette County,607492734
Fleming County,28631355
Floyd County,76031297
Fort Thomas Independent,44498225
Frankfort Independent,12280789
Franklin County,89643453
Fulton County,7765980
Fulton Independent,5921935
Gallatin County,21637982
Garrard County,34481562
Glasgow Independent,29810693
Grant County,43385446
Graves County,48189652
Grayson County,47972409
Green County,19917985
Greenup County,32793176
Hancock County,23927117
Hardin County,174226700
Harlan County,48309510
Harlan Independent,9130667
Harrison County,33296444
Hart County,42726372
Hazard Independent,12783084
Henderson County,89907077
Henry County,25079575
Hickman County,10651251
Hopkins County,75444472
Jackson County,28721723
Jackson Independent,4299462
Jefferson County,1533061965
Jenkins Independent,6912269
Jessamine County,105779102
Johnson County,41340474
Kenton County,180502393
Knott County,28412139
Knox County,58299732
LaRue County,28891203
Laurel County,102582599
Lawrence County,29240346
Lee County,10729973
Leslie County,22043677
Letcher County,38714691
Lewis County,35234369
Lincoln County,44574089
Livingston County,17129833
Logan County,39506692
Ludlow Independent,10308389
Lyon County,10416092
Madison County,133470356
Magoffin County,31765030
Marion County,38509749
Marshall County,74806903
Martin County,38805029
Mason County,35708302
Mayfield Independent,22509704
McCracken County,83216001
McCreary County,35128242
McLean County,17212450
Meade County,67327115
Menifee County,13997526
Mercer County,39216005
Metcalfe County,20931846
Middlesboro Independent,16838049
Monroe County,25142251
Montgomery County,53011339
Morgan County,43571072
Muhlenberg County,60941465
Murray Independent,28504868
Nelson County,54646695
Newport Independent,29560831
Nicholas County,19722043
Ohio County,45487244
Oldham County,155310685
Owen County,25462294
Owensboro Independent,71896300
Owsley County,13669044
Paducah Independent,50515426
Paintsville Independent,11695882
Paris Independent,9063766
Pendleton County,27503283
Perry County,52277323
Pike County,115003750
Pikeville Independent,15227333
Pineville Independent,6441579
Powell County,26064780
Pulaski County,97064007
Raceland-Worthington Independent,19785158
Robertson County,8553720
Rockcastle County,35652385
Rowan County,38733986
Russell County,38075444
Russell Independent,26202924
Russellville Independent,15544398
Science Hill Independent,5006482
Scott County,167556614
Shelby County,106811842
Simpson County,36489880
Somerset Independent,25340937
Southgate Independent,4678678
Spencer County,36291277
Taylor County,32638827
Todd County,22549452
Trigg County,24346677
Trimble County,14821242
Union County,26461940
Walton-Verona Independent,27496117
Warren County,205474284
Washington County,21783119
Wayne County,44962278
Webster County,25993763
West Point Independent,2289484
Whitley County,53253427
Williamsburg Independent,11860660
Williamstown Independent,11450440
Wolfe County,17947935
Woodford County,48064698